"Format ID","Label","Type"
"gen9randombattle","Random Battle","Singles"
"gen9ou","OverUsed","Singles"
"gen9nationaldex","National Dex OU","Singles"
"gen9monotype","Monotype","Singles"
"gen9anythinggoes","Anything Goes","Singles"
"gen9ubers","Ubers","Singles"
"gen9uu","UnderUsed","Singles"
"gen9ru","RarelyUsed","Singles"
"gen9nu","NeverUsed","Singles"
"gen9pu","PU","Singles"
"gen9zu","Zero Used","Singles"
"gen9lc","Little Cup","Singles"
"gen9doublesou","Doubles OU","Doubles"
"gen9randomdoublesbattle","Random Doubles","Doubles"
"gen9doublesubers","Doubles Ubers","Doubles"
"gen9doublesuu","Doubles UU","Doubles"
"gen9championsou","Champions OU","Singles"
"gen9championsbssregma","Champions BSS Reg M-A","Singles"
"gen9championsvgc2026regma","Champions VGC Reg M-A (Bo1)","Doubles"
"gen9championsvgc2026regmabo3","Champions VGC Reg M-A (Bo3)","Doubles"